time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-07-24 07:00:00,33946.07,33773.0,33910.18,387.98,13132107.01,33836.3,direct,
2021-07-24 08:00:00,33846.75,33573.3,33836.3,666.07,22439901.91,33641.94,direct,
2021-07-24 09:00:00,33880.44,33634.74,33641.94,631.73,21322080.78,33858.19,direct,
2021-07-24 10:00:00,33956.63,33783.89,33858.19,724.58,24555816.77,33907.62,direct,
2021-07-24 11:00:00,34044.97,33716.29,33907.62,832.28,28204862.68,33892.86,direct,
2021-07-24 12:00:00,33893.71,33783.59,33892.86,436.24,14757403.4,33856.0,direct,
2021-07-24 13:00:00,33962.5,33814.18,33856.0,659.59,22346734.76,33822.29,direct,
2021-07-24 14:00:00,33947.71,33765.63,33822.29,736.6,24945557.63,33897.32,direct,
2021-07-24 15:00:00,34067.21,33868.55,33897.32,916.19,31103125.22,33902.26,direct,
2021-07-24 16:00:00,34476.04,33870.84,33902.26,1932.39,66125781.99,34466.87,direct,
2021-07-24 17:00:00,34519.75,34226.0,34466.87,1211.26,41642341.98,34340.48,direct,
2021-07-24 18:00:00,34438.74,34278.21,34340.48,1100.2,37803573.38,34313.49,direct,
2021-07-24 19:00:00,34313.49,33768.99,34313.49,1401.53,47717884.39,33887.73,direct,
2021-07-24 20:00:00,33974.8,33709.73,33887.73,1001.17,33912740.96,33937.99,direct,
2021-07-24 21:00:00,34161.41,33850.03,33937.99,823.76,27991043.92,34125.45,direct,
2021-07-24 22:00:00,34126.01,33882.59,34125.45,617.37,20984469.52,34059.67,direct,
2021-07-24 23:00:00,34302.53,33965.69,34059.67,792.01,27024664.08,34282.56,direct,
2021-07-25 00:00:00,34469.64,33958.23,34282.56,1188.25,40686512.57,34046.58,direct,
2021-07-25 01:00:00,34147.94,33904.44,34046.58,593.76,20202018.3,33961.56,direct,
2021-07-25 02:00:00,34245.13,33948.77,33961.56,939.25,32041238.22,34226.25,direct,
2021-07-25 03:00:00,34383.21,34186.49,34226.25,717.31,24600561.92,34190.52,direct,
2021-07-25 04:00:00,34506.36,34107.55,34190.52,714.13,24531324.92,34398.02,direct,
2021-07-25 05:00:00,34586.95,34267.02,34398.02,797.24,27448170.6,34349.06,direct,
2021-07-25 06:00:00,34518.81,34316.82,34349.06,402.61,13864710.59,34494.05,direct,
